"OBJECTID","ZIP","CONFIRMED","RECOVERED","Shape__Area","Shape__Length","Date"
7,13210,513,419,121905640.670776,57335.7651082135,2020-11-09
12,13208,469,410,68307159.7624512,48130.7427291604,2020-11-09
4,13205,427,386,86419018.9277344,55929.5836657691,2020-11-09
9,13203,459,370,47834286.2580566,35256.502661724,2020-11-09
10,13204,319,260,138470966.714478,58264.9609811198,2020-11-09
3,13207,229,211,81889567.5168457,64412.8619051985,2020-11-09
11,13206,171,144,54675608.9171753,36964.9795369121,2020-11-09
5,13202,121,97,29913051.0748291,27251.3483985363,2020-11-09
8,13224,93,84,51407562.5394897,39761.1292276494,2020-11-09
13,13214,70,58,14781597.3684692,26803.5491393636,2020-11-09
2,13215,3,3,4926249.24188232,14693.0688167955,2020-11-09
6,13219,2,1,4748296.46783447,20860.7879686878,2020-11-09
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-09
7,13210,521,428,121905640.670776,57335.7651082135,2020-11-10
12,13208,475,416,68307159.7624512,48130.7427291604,2020-11-10
4,13205,430,389,86419018.9277344,55929.5836657691,2020-11-10
9,13203,462,374,47834286.2580566,35256.502661724,2020-11-10
10,13204,321,268,138470966.714478,58264.9609811198,2020-11-10
3,13207,234,213,81889567.5168457,64412.8619051985,2020-11-10
11,13206,176,148,54675608.9171753,36964.9795369121,2020-11-10
5,13202,123,101,29913051.0748291,27251.3483985363,2020-11-10
8,13224,95,87,51407562.5394897,39761.1292276494,2020-11-10
13,13214,70,58,14781597.3684692,26803.5491393636,2020-11-10
2,13215,3,3,4926249.24188232,14693.0688167955,2020-11-10
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-10
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-10
7,13210,587,431,121905640.670776,57335.7651082135,2020-11-11
12,13208,481,420,68307159.7624512,48130.7427291604,2020-11-11
4,13205,434,391,86419018.9277344,55929.5836657691,2020-11-11
9,13203,466,374,47834286.2580566,35256.502661724,2020-11-11
10,13204,329,278,138470966.714478,58264.9609811198,2020-11-11
3,13207,236,215,81889567.5168457,64412.8619051985,2020-11-11
11,13206,188,150,54675608.9171753,36964.9795369121,2020-11-11
5,13202,125,102,29913051.0748291,27251.3483985363,2020-11-11
8,13224,97,87,51407562.5394897,39761.1292276494,2020-11-11
13,13214,70,58,14781597.3684692,26803.5491393636,2020-11-11
2,13215,3,3,4926249.24188232,14693.0688167955,2020-11-11
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-11
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-11
7,13210,645,438,121905640.670776,57335.7651082135,2020-11-12
12,13208,489,421,68307159.7624512,48130.7427291604,2020-11-12
4,13205,436,394,86419018.9277344,55929.5836657691,2020-11-12
9,13203,466,376,47834286.2580566,35256.502661724,2020-11-12
10,13204,335,278,138470966.714478,58264.9609811198,2020-11-12
3,13207,240,216,81889567.5168457,64412.8619051985,2020-11-12
11,13206,191,151,54675608.9171753,36964.9795369121,2020-11-12
5,13202,128,102,29913051.0748291,27251.3483985363,2020-11-12
8,13224,98,87,51407562.5394897,39761.1292276494,2020-11-12
13,13214,70,59,14781597.3684692,26803.5491393636,2020-11-12
2,13215,3,3,4926249.24188232,14693.0688167955,2020-11-12
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-12
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-12
7,13210,689,460,121905640.670776,57335.7651082135,2020-11-13
12,13208,498,432,68307159.7624512,48130.7427291604,2020-11-13
4,13205,442,396,86419018.9277344,55929.5836657691,2020-11-13
9,13203,469,379,47834286.2580566,35256.502661724,2020-11-13
10,13204,341,286,138470966.714478,58264.9609811198,2020-11-13
3,13207,244,220,81889567.5168457,64412.8619051985,2020-11-13
11,13206,198,161,54675608.9171753,36964.9795369121,2020-11-13
5,13202,131,103,29913051.0748291,27251.3483985363,2020-11-13
8,13224,99,89,51407562.5394897,39761.1292276494,2020-11-13
13,13214,71,60,14781597.3684692,26803.5491393636,2020-11-13
2,13215,3,3,4926249.24188232,14693.0688167955,2020-11-13
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-13
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-13
7,13210,767,506,121905640.670776,57335.7651082135,2020-11-16
12,13208,512,457,68307159.7624512,48130.7427291604,2020-11-16
4,13205,450,400,86419018.9277344,55929.5836657691,2020-11-16
9,13203,479,388,47834286.2580566,35256.502661724,2020-11-16
10,13204,371,306,138470966.714478,58264.9609811198,2020-11-16
3,13207,263,227,81889567.5168457,64412.8619051985,2020-11-16
11,13206,216,179,54675608.9171753,36964.9795369121,2020-11-16
5,13202,140,119,29913051.0748291,27251.3483985363,2020-11-16
8,13224,108,92,51407562.5394897,39761.1292276494,2020-11-16
13,13214,74,61,14781597.3684692,26803.5491393636,2020-11-16
2,13215,3,3,4926249.24188232,14693.0688167955,2020-11-16
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-16
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-16
7,13210,792,534,121905640.670776,57335.7651082135,2020-11-17
12,13208,516,460,68307159.7624512,48130.7427291604,2020-11-17
4,13205,453,402,86419018.9277344,55929.5836657691,2020-11-17
9,13203,484,391,47834286.2580566,35256.502661724,2020-11-17
10,13204,381,314,138470966.714478,58264.9609811198,2020-11-17
3,13207,267,229,81889567.5168457,64412.8619051985,2020-11-17
11,13206,218,183,54675608.9171753,36964.9795369121,2020-11-17
5,13202,143,119,29913051.0748291,27251.3483985363,2020-11-17
8,13224,109,94,51407562.5394897,39761.1292276494,2020-11-17
13,13214,74,61,14781597.3684692,26803.5491393636,2020-11-17
2,13215,3,3,4926249.24188232,14693.0688167955,2020-11-17
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-17
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-17
7,13210,851,535,121905640.670776,57335.7651082135,2020-11-18
12,13208,521,462,68307159.7624512,48130.7427291604,2020-11-18
4,13205,472,403,86419018.9277344,55929.5836657691,2020-11-18
9,13203,491,391,47834286.2580566,35256.502661724,2020-11-18
10,13204,393,315,138470966.714478,58264.9609811198,2020-11-18
3,13207,270,229,81889567.5168457,64412.8619051985,2020-11-18
11,13206,225,184,54675608.9171753,36964.9795369121,2020-11-18
5,13202,145,119,29913051.0748291,27251.3483985363,2020-11-18
8,13224,112,94,51407562.5394897,39761.1292276494,2020-11-18
13,13214,77,61,14781597.3684692,26803.5491393636,2020-11-18
2,13215,3,3,4926249.24188232,14693.0688167955,2020-11-18
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-18
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-18
7,13210,885,536,121905640.670776,57335.7651082135,2020-11-19
12,13208,527,463,68307159.7624512,48130.7427291604,2020-11-19
4,13205,480,403,86419018.9277344,55929.5836657691,2020-11-19
9,13203,495,391,47834286.2580566,35256.502661724,2020-11-19
10,13204,401,315,138470966.714478,58264.9609811198,2020-11-19
3,13207,275,229,81889567.5168457,64412.8619051985,2020-11-19
11,13206,231,184,54675608.9171753,36964.9795369121,2020-11-19
5,13202,150,119,29913051.0748291,27251.3483985363,2020-11-19
8,13224,113,94,51407562.5394897,39761.1292276494,2020-11-19
13,13214,77,61,14781597.3684692,26803.5491393636,2020-11-19
2,13215,3,3,4926249.24188232,14693.0688167955,2020-11-19
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-19
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-19
7,13210,917,589,121905640.670776,57335.7651082135,2020-11-20
12,13208,536,469,68307159.7624512,48130.7427291604,2020-11-20
4,13205,491,411,86419018.9277344,55929.5836657691,2020-11-20
9,13203,509,394,47834286.2580566,35256.502661724,2020-11-20
10,13204,420,327,138470966.714478,58264.9609811198,2020-11-20
3,13207,280,234,81889567.5168457,64412.8619051985,2020-11-20
11,13206,240,189,54675608.9171753,36964.9795369121,2020-11-20
5,13202,152,122,29913051.0748291,27251.3483985363,2020-11-20
8,13224,116,96,51407562.5394897,39761.1292276494,2020-11-20
13,13214,77,62,14781597.3684692,26803.5491393636,2020-11-20
2,13215,3,3,4926249.24188232,14693.0688167955,2020-11-20
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-20
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-20
7,13210,959,717,121905640.670776,57335.7651082135,2020-11-23
12,13208,558,488,68307159.7624512,48130.7427291604,2020-11-23
4,13205,511,422,86419018.9277344,55929.5836657691,2020-11-23
9,13203,528,403,47834286.2580566,35256.502661724,2020-11-23
10,13204,446,346,138470966.714478,58264.9609811198,2020-11-23
3,13207,300,243,81889567.5168457,64412.8619051985,2020-11-23
11,13206,257,203,54675608.9171753,36964.9795369121,2020-11-23
5,13202,161,130,29913051.0748291,27251.3483985363,2020-11-23
8,13224,129,101,51407562.5394897,39761.1292276494,2020-11-23
13,13214,80,66,14781597.3684692,26803.5491393636,2020-11-23
2,13215,3,3,4926249.24188232,14693.0688167955,2020-11-23
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-23
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-23
7,13210,971,717,121905640.670776,57335.7651082135,2020-11-24
12,13208,564,488,68307159.7624512,48130.7427291604,2020-11-24
4,13205,518,422,86419018.9277344,55929.5836657691,2020-11-24
9,13203,537,403,47834286.2580566,35256.502661724,2020-11-24
10,13204,456,346,138470966.714478,58264.9609811198,2020-11-24
3,13207,305,243,81889567.5168457,64412.8619051985,2020-11-24
11,13206,262,203,54675608.9171753,36964.9795369121,2020-11-24
5,13202,163,130,29913051.0748291,27251.3483985363,2020-11-24
8,13224,130,101,51407562.5394897,39761.1292276494,2020-11-24
13,13214,80,66,14781597.3684692,26803.5491393636,2020-11-24
2,13215,4,3,4926249.24188232,14693.0688167955,2020-11-24
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-24
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-24
7,13210,986,717,121905640.670776,57335.7651082135,2020-11-25
12,13208,573,488,68307159.7624512,48130.7427291604,2020-11-25
4,13205,526,422,86419018.9277344,55929.5836657691,2020-11-25
9,13203,550,404,47834286.2580566,35256.502661724,2020-11-25
10,13204,479,346,138470966.714478,58264.9609811198,2020-11-25
3,13207,313,243,81889567.5168457,64412.8619051985,2020-11-25
11,13206,272,203,54675608.9171753,36964.9795369121,2020-11-25
5,13202,168,130,29913051.0748291,27251.3483985363,2020-11-25
8,13224,134,101,51407562.5394897,39761.1292276494,2020-11-25
13,13214,82,66,14781597.3684692,26803.5491393636,2020-11-25
2,13215,4,3,4926249.24188232,14693.0688167955,2020-11-25
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-25
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-25
7,13210,1005,826,121905640.670776,57335.7651082135,2020-11-27
12,13208,591,508,68307159.7624512,48130.7427291604,2020-11-27
4,13205,574,449,86419018.9277344,55929.5836657691,2020-11-27
9,13203,558,425,47834286.2580566,35256.502661724,2020-11-27
10,13204,514,377,138470966.714478,58264.9609811198,2020-11-27
3,13207,326,260,81889567.5168457,64412.8619051985,2020-11-27
11,13206,282,221,54675608.9171753,36964.9795369121,2020-11-27
5,13202,181,138,29913051.0748291,27251.3483985363,2020-11-27
8,13224,140,108,51407562.5394897,39761.1292276494,2020-11-27
13,13214,82,68,14781597.3684692,26803.5491393636,2020-11-27
2,13215,4,3,4926249.24188232,14693.0688167955,2020-11-27
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-27
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-27
7,13210,1030,879,121905640.670776,57335.7651082135,2020-11-30
12,13208,610,526,68307159.7624512,48130.7427291604,2020-11-30
4,13205,607,464,86419018.9277344,55929.5836657691,2020-11-30
9,13203,574,444,47834286.2580566,35256.502661724,2020-11-30
10,13204,568,408,138470966.714478,58264.9609811198,2020-11-30
3,13207,344,269,81889567.5168457,64412.8619051985,2020-11-30
11,13206,295,240,54675608.9171753,36964.9795369121,2020-11-30
5,13202,198,146,29913051.0748291,27251.3483985363,2020-11-30
8,13224,153,115,51407562.5394897,39761.1292276494,2020-11-30
13,13214,82,70,14781597.3684692,26803.5491393636,2020-11-30
2,13215,5,3,4926249.24188232,14693.0688167955,2020-11-30
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-30
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-30
7,13210,1034,919,121905640.670776,57335.7651082135,2020-12-01
12,13208,616,530,68307159.7624512,48130.7427291604,2020-12-01
4,13205,616,465,86419018.9277344,55929.5836657691,2020-12-01
9,13203,581,447,47834286.2580566,35256.502661724,2020-12-01
10,13204,586,420,138470966.714478,58264.9609811198,2020-12-01
3,13207,348,278,81889567.5168457,64412.8619051985,2020-12-01
11,13206,300,246,54675608.9171753,36964.9795369121,2020-12-01
5,13202,200,150,29913051.0748291,27251.3483985363,2020-12-01
8,13224,155,119,51407562.5394897,39761.1292276494,2020-12-01
13,13214,82,70,14781597.3684692,26803.5491393636,2020-12-01
2,13215,5,3,4926249.24188232,14693.0688167955,2020-12-01
6,13219,2,2,4748296.46783447,20860.7879686878,2020-12-01
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-01
7,13210,1045,947,121905640.670776,57335.7651082135,2020-12-02
12,13208,625,542,68307159.7624512,48130.7427291604,2020-12-02
4,13205,624,484,86419018.9277344,55929.5836657691,2020-12-02
9,13203,592,462,47834286.2580566,35256.502661724,2020-12-02
10,13204,603,462,138470966.714478,58264.9609811198,2020-12-02
3,13207,361,296,81889567.5168457,64412.8619051985,2020-12-02
11,13206,307,259,54675608.9171753,36964.9795369121,2020-12-02
5,13202,201,158,29913051.0748291,27251.3483985363,2020-12-02
8,13224,158,127,51407562.5394897,39761.1292276494,2020-12-02
13,13214,82,71,14781597.3684692,26803.5491393636,2020-12-02
2,13215,5,3,4926249.24188232,14693.0688167955,2020-12-02
6,13219,2,2,4748296.46783447,20860.7879686878,2020-12-02
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-02
7,13210,1050,974,121905640.670776,57335.7651082135,2020-12-03
12,13208,634,559,68307159.7624512,48130.7427291604,2020-12-03
4,13205,673,496,86419018.9277344,55929.5836657691,2020-12-03
10,13204,619,479,138470966.714478,58264.9609811198,2020-12-03
9,13203,603,477,47834286.2580566,35256.502661724,2020-12-03
3,13207,374,310,81889567.5168457,64412.8619051985,2020-12-03
11,13206,320,264,54675608.9171753,36964.9795369121,2020-12-03
5,13202,203,167,29913051.0748291,27251.3483985363,2020-12-03
8,13224,162,130,51407562.5394897,39761.1292276494,2020-12-03
13,13214,83,71,14781597.3684692,26803.5491393636,2020-12-03
2,13215,5,3,4926249.24188232,14693.0688167955,2020-12-03
6,13219,2,2,4748296.46783447,20860.7879686878,2020-12-03
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-03
7,13210,1055,980,121905640.670776,57335.7651082135,2020-12-04
12,13208,655,562,68307159.7624512,48130.7427291604,2020-12-04
4,13205,705,506,86419018.9277344,55929.5836657691,2020-12-04
10,13204,641,486,138470966.714478,58264.9609811198,2020-12-04
9,13203,609,480,47834286.2580566,35256.502661724,2020-12-04
3,13207,381,314,81889567.5168457,64412.8619051985,2020-12-04
11,13206,330,264,54675608.9171753,36964.9795369121,2020-12-04
5,13202,205,168,29913051.0748291,27251.3483985363,2020-12-04
8,13224,169,134,51407562.5394897,39761.1292276494,2020-12-04
13,13214,85,71,14781597.3684692,26803.5491393636,2020-12-04
2,13215,5,3,4926249.24188232,14693.0688167955,2020-12-04
6,13219,2,2,4748296.46783447,20860.7879686878,2020-12-04
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-04
7,13210,1084,1012,121905640.670776,57335.7651082135,2020-12-07
12,13208,691,594,68307159.7624512,48130.7427291604,2020-12-07
10,13204,704,535,138470966.714478,58264.9609811198,2020-12-07
4,13205,751,522,86419018.9277344,55929.5836657691,2020-12-07
9,13203,661,497,47834286.2580566,35256.502661724,2020-12-07
3,13207,413,337,81889567.5168457,64412.8619051985,2020-12-07
11,13206,372,291,54675608.9171753,36964.9795369121,2020-12-07
5,13202,221,187,29913051.0748291,27251.3483985363,2020-12-07
8,13224,185,148,51407562.5394897,39761.1292276494,2020-12-07
13,13214,87,72,14781597.3684692,26803.5491393636,2020-12-07
2,13215,6,5,4926249.24188232,14693.0688167955,2020-12-07
6,13219,2,2,4748296.46783447,20860.7879686878,2020-12-07
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-07
7,13210,1103,1024,121905640.670776,57335.7651082135,2020-12-09
12,13208,711,601,68307159.7624512,48130.7427291604,2020-12-09
10,13204,746,557,138470966.714478,58264.9609811198,2020-12-09
4,13205,777,536,86419018.9277344,55929.5836657691,2020-12-09
9,13203,698,508,47834286.2580566,35256.502661724,2020-12-09
3,13207,439,341,81889567.5168457,64412.8619051985,2020-12-09
11,13206,402,294,54675608.9171753,36964.9795369121,2020-12-09
5,13202,233,193,29913051.0748291,27251.3483985363,2020-12-09
8,13224,197,150,51407562.5394897,39761.1292276494,2020-12-09
13,13214,88,72,14781597.3684692,26803.5491393636,2020-12-09
2,13215,7,5,4926249.24188232,14693.0688167955,2020-12-09
6,13219,2,2,4748296.46783447,20860.7879686878,2020-12-09
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-09
7,13210,1115,1038,121905640.670776,57335.7651082135,2020-12-10
12,13208,722,618,68307159.7624512,48130.7427291604,2020-12-10
10,13204,759,578,138470966.714478,58264.9609811198,2020-12-10
4,13205,790,554,86419018.9277344,55929.5836657691,2020-12-10
9,13203,712,520,47834286.2580566,35256.502661724,2020-12-10
3,13207,457,354,81889567.5168457,64412.8619051985,2020-12-10
11,13206,414,306,54675608.9171753,36964.9795369121,2020-12-10
5,13202,237,200,29913051.0748291,27251.3483985363,2020-12-10
8,13224,203,157,51407562.5394897,39761.1292276494,2020-12-10
13,13214,90,73,14781597.3684692,26803.5491393636,2020-12-10
2,13215,7,5,4926249.24188232,14693.0688167955,2020-12-10
6,13219,2,2,4748296.46783447,20860.7879686878,2020-12-10
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-10
7,13210,1120,1038,121905640.670776,57335.7651082135,2020-12-11
12,13208,744,618,68307159.7624512,48130.7427291604,2020-12-11
10,13204,782,578,138470966.714478,58264.9609811198,2020-12-11
4,13205,842,554,86419018.9277344,55929.5836657691,2020-12-11
9,13203,729,520,47834286.2580566,35256.502661724,2020-12-11
3,13207,480,354,81889567.5168457,64412.8619051985,2020-12-11
11,13206,424,306,54675608.9171753,36964.9795369121,2020-12-11
5,13202,248,200,29913051.0748291,27251.3483985363,2020-12-11
8,13224,212,157,51407562.5394897,39761.1292276494,2020-12-11
13,13214,91,73,14781597.3684692,26803.5491393636,2020-12-11
2,13215,7,5,4926249.24188232,14693.0688167955,2020-12-11
6,13219,2,2,4748296.46783447,20860.7879686878,2020-12-11
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-11
